| Object_Name | AGN_Type | Chi2_Flux/StdDev | Reduced_Chi2_Flux/StdDev | Chi2_Flux/Errors | Reduced_Chi2_Flux/Errors |
| PGC2392656 | S2 | 1306.1775 | 1.1388 | 5982.1878 | 5.2110 |
| PGC024716 | S2 | 1215.0778 | 1.0315 | 8274.3861 | 7.0181 |
| 2MASXJ08395264+5034485 | S2 | 1172.5784 | 1.0108 | 4873.9115 | 4.1980 |
| PGC2334278 | S2 | 1186.7986 | 1.0100 | 6751.2696 | 5.7409 |
| PGC3134550 | S2 | 1228.7590 | 1.0466 | 6680.7606 | 5.6858 |
| PGC2429352 | S2 | 1185.9276 | 1.0059 | 4189.5382 | 3.5505 |
| 2MASXJ08522748+5634009 | S2 | 1568.4549 | 1.3452 | 5967.7041 | 5.1137 |
| PGC2421240 | S2 | 1190.3673 | 1.0114 | 4213.2492 | 3.5766 |
| PGC2435142 | S2 | 1297.1906 | 1.1068 | 4558.4237 | 3.8861 |
| PGC3132038 | S2 | 1176.5662 | 1.0125 | 3959.7133 | 3.4047 |
| PGC2388371 | S2 | 1184.2751 | 1.0036 | 4571.1994 | 3.8706 |
| PGC2395619 | S2 | 1180.0081 | 1.0000 | 12503.7576 | 10.5874 |
| PGC3133152 | S2 | 1173.0009 | 1.0000 | 3842.6673 | 3.2731 |
| PGC3132760 | S2 | 1157.0893 | 1.0070 | 4825.5641 | 4.1961 |
| PGC2389407 | S2 | 1103.9268 | 1.0045 | 5306.9391 | 4.8245 |
| PGC3132599 | S2 | 1252.6731 | 1.0670 | 4630.0513 | 3.9405 |
| PGC2355275 | S2 | 1171.7546 | 1.0006 | 3697.6675 | 3.1550 |
| PGC2572072 | S2 | 1217.1476 | 1.0359 | 4612.1231 | 3.9219 |
| NGC2603 | S2 | 1267.6161 | 1.0909 | 5507.8895 | 4.7359 |
| PGC2421539 | S2 | 1255.9028 | 1.0689 | 3765.2887 | 3.2018 |
| PGC2436165 | S2 | 1249.4527 | 1.0634 | 10813.3957 | 9.1951 |
| PGC2413902 | S2 | 1179.2061 | 1.0002 | 4124.0419 | 3.4950 |
| PGC2432236 | S2 | 1441.3361 | 1.2330 | 5093.7892 | 4.3537 |
| PGC2437136 | S1.5 | 1221.6603 | 1.0371 | 4021.8943 | 3.4113 |
| PGC2491057 | S2 | 1214.7203 | 1.0418 | 4662.0949 | 3.9949 |
| PGC2450103 | S2 | 1365.1703 | 1.1579 | 6293.9688 | 5.3339 |
| PGC3133072 | S2 | 1190.4754 | 1.0219 | 4115.3249 | 3.5294 |
| PGC2376547 | S2 | 1272.6177 | 1.0849 | 4644.5949 | 3.9562 |
| PGC2442955 | S2 | 1182.9595 | 1.0076 | 4306.3610 | 3.6650 |
| PGC3133738 | S2 | 1248.7513 | 1.0601 | 7442.6529 | 6.3127 |
| PGC2416681 | S2 | 1233.7522 | 1.0536 | 4687.6845 | 3.9997 |
| PGC2373289 | S2 | 1176.0118 | 1.0000 | 4947.4272 | 4.2034 |
| PGC3132447 | S2 | 1174.4937 | 1.0021 | 4204.3603 | 3.5843 |
| PGC3132790 | S2 | 1285.2008 | 1.0882 | 71965.0394 | 60.8841 |
| PGC3134164 | S2 | 1186.5273 | 1.0115 | 3721.8907 | 3.1703 |
| PGC3132056 | S2 | 1342.3418 | 1.1405 | 4714.5241 | 4.0021 |
| PGC2449623 | S2 | 1208.7317 | 1.0252 | 4599.6958 | 3.8980 |
| PGC024858 | S2 | 1334.8223 | 1.1409 | 9416.9196 | 8.0418 |
| PGC2518428 | S2 | 1251.6198 | 1.0625 | 12608.4617 | 10.6942 |
| PGC2375074 | S2 | 1155.1166 | 1.0001 | 4512.2171 | 3.9033 |
| PGC3135544 | S2 | 1196.6656 | 1.0237 | 5342.6484 | 4.5664 |
| PGC3132411 | S2 | 1156.8650 | 1.0016 | 4942.0456 | 4.2751 |
| PGC023960 | S2 | 1293.2670 | 1.1007 | 4576.1463 | 3.8913 |
| PGC090857 | S2 | 1220.8818 | 1.0373 | 4272.9501 | 3.6273 |
| PGC3132326 | S2 | 1276.8793 | 1.0895 | 4444.5623 | 3.7891 |
| PGC2460925 | S2 | 1219.2409 | 1.0359 | 4668.4733 | 3.9631 |
| PGC2525519 | S2 | 1424.0097 | 1.2099 | 10752.0913 | 9.1274 |
| PGC2384363 | S2 | 1188.0446 | 1.0128 | 4152.5347 | 3.5371 |
| PGC2354226 | S2 | 1204.6494 | 1.0287 | 24571.4646 | 20.9654 |
| PGC2387616 | S2 | 1256.7903 | 1.0733 | 4659.7108 | 3.9759 |
| PGC3132149 | S2 | 1184.6386 | 1.0125 | 4376.5752 | 3.7375 |
| PGC3132068 | S2 | 1186.0657 | 1.0129 | 4069.9150 | 3.4726 |
| PGC023022 | S2 | 1171.8052 | 1.0024 | 4174.4695 | 3.5679 |
| PGC3134400 | S2 | 1226.9953 | 1.0460 | 4567.9580 | 3.8909 |
| PGC3136737 | S2 | 1329.3097 | 1.1342 | 4868.7056 | 4.1506 |
| PGC2399835 | S2 | 1222.1771 | 1.0402 | 4061.8444 | 3.4539 |
| PGC3133517 | S2 | 1230.2124 | 1.0452 | 4511.0993 | 3.8295 |
| PGC3136588 | S2 | 1216.9621 | 1.0410 | 5314.0866 | 4.5420 |
| PGC3135130 | S2 | 1328.8121 | 1.1348 | 4764.6538 | 4.0654 |
| PGC3135854 | S2 | 1193.0157 | 1.0145 | 4464.9195 | 3.7935 |
| PGC3132316 | S2 | 1217.9089 | 1.0545 | 5076.0376 | 4.3910 |
| PGC3133605 | S2 | 1278.3987 | 1.0899 | 4566.1709 | 3.8894 |
| PGC2395249 | S2 | 1210.8618 | 1.0305 | 4403.1550 | 3.7442 |
| PGC3135181 | S2 | 1174.1591 | 1.0001 | 4037.5711 | 3.4362 |
| PGC3133904 | S2 | 1179.7401 | 1.0032 | 5200.3520 | 4.4183 |
| PGC3132577 | S2 | 1185.1870 | 1.0087 | 4167.5939 | 3.5439 |
| PGC2407272 | S2 | 1365.0453 | 1.1697 | 4857.6945 | 4.1590 |
| PGC2443882 | S2 | 1194.5459 | 1.0271 | 4804.5471 | 4.1276 |
| PGC2568069 | S2 | 1230.2966 | 1.0471 | 5024.6070 | 4.2726 |
| PGC2370497 | S2 | 1175.8287 | 1.0016 | 3746.6988 | 3.1887 |
| UGC04633 | S2 | 1121.0104 | 1.0090 | 8382.0714 | 7.5378 |
| PGC2432822 | S2 | 1185.8241 | 1.0066 | 4309.5203 | 3.6552 |
| PGC2506315 | S2 | 1177.8779 | 1.0007 | 4985.7431 | 4.2324 |
| PGC2512610 | S2 | 1184.3951 | 1.0071 | 4683.8940 | 3.9795 |
| PGC2450087 | S2 | 1198.8865 | 1.0169 | 5011.7824 | 4.2473 |
| PGC3136292 | S2 | 1489.9085 | 1.2745 | 7444.6381 | 6.3629 |
| PGC3136100 | S2 | 1238.2141 | 1.0538 | 4740.4310 | 4.0310 |
| PGC2372801 | S2 | 1459.2206 | 1.2387 | 4627.8390 | 3.9252 |
| PGC3133158 | S2 | 1509.7819 | 1.2795 | 5535.4963 | 4.6871 |
| PGC2454580 | S2 | 1324.9856 | 1.1305 | 4249.1373 | 3.6225 |
| PGC2402353 | S2 | 1178.9655 | 1.0008 | 4573.6545 | 3.8793 |
| PGC3135765 | S2 | 1241.1949 | 1.0599 | 4803.0013 | 4.0981 |
| 2MASXJ09094201+5855327 | S2 | 1193.9719 | 1.0170 | 4412.9294 | 3.7557 |
| PGC2481467 | S2 | 1242.9802 | 1.0588 | 5316.4796 | 4.5247 |
| PGC2482841 | S2 | 1173.5430 | 1.0030 | 4894.0319 | 4.1794 |
| PGC3136088 | S2 | 1525.3704 | 1.3004 | 5763.0736 | 4.9089 |
| PGC2499981 | S2 | 1526.2820 | 1.2990 | 6514.4645 | 5.5395 |
| PGC023174 | S2 | 1311.2961 | 1.1285 | 4431.4081 | 3.8103 |
| 2MASXJ09141710+5818404 | S2 | 1180.6012 | 1.0091 | 5310.1281 | 4.5347 |
| PGC3095791 | S2 | 1219.1698 | 1.0447 | 4558.9952 | 3.9032 |
| PGC2541064 | S2 | 1294.1506 | 1.1005 | 4899.8204 | 4.1630 |
| NGC2985 | S1.9 | 1180.1927 | 1.0139 | 8530.7530 | 7.3225 |
| PGC3140013 | S2 | 1327.6425 | 1.1299 | 5368.7574 | 4.5653 |
| PGC3139048 | S2 | 1192.8469 | 1.0117 | 5799.9108 | 4.9152 |
| PGC3139985 | S2 | 1280.3001 | 1.0832 | 11246.1709 | 9.5065 |
| PGC2677795 | S2 | 1445.2306 | 1.2300 | 4760.8133 | 4.0483 |
| PGC3140009 | S2 | 1245.0743 | 1.0587 | 65259.2516 | 55.4454 |
| PGC2678729 | S2 | 1226.3575 | 1.0375 | 23105.7567 | 19.5315 |
| PGC3135565 | S2 | 1209.7441 | 1.0393 | 10529.3172 | 9.0380 |
